record_id,true_lineage_id
CPL-R00284,L00244
CPL-R00285,L00245
CPL-R00286,L00246
CPL-R00287,L00247
CPL-R00288,L00248
CPL-R00289,L00249
CPL-R00290,L00250
CPL-R00291,L00250
CPL-R00292,L00251
CPL-R00293,L00252
CPL-R00294,L00253
CPL-R00295,L00253
CPL-R00296,L00254
CPL-R00297,L00254
CPL-R00298,L00255
CPL-R00299,L00256
CPL-R00300,L00257
CPL-R00301,L00258
CPL-R00302,L00259
CPL-R00303,L00260
CPL-R00305,L00261
CPL-R00304,L00261
CPL-R00306,L00262
CPL-R00307,L00263
CPL-R00308,L00263
CPL-R00309,L00264
CPL-R00310,L00265
CPL-R00312,L00266
CPL-R00311,L00266
CPL-R00313,L00267
CPL-R00314,L00268
CPL-R00315,L00269
CPL-R00316,L00270
CPL-R00317,L00271
CPL-R00318,L00272
CPL-R00319,L00273
CPL-R00320,L00274
CPL-R00321,L00275
CPL-R00322,L00275
CPL-R00323,L00276
CPL-R00324,L00277
CPL-R00326,L00278
CPL-R00325,L00278
CPL-R00328,L00279
CPL-R00327,L00279
CPL-R00329,L00280
CPL-R00330,L00281
CPL-R00332,L00282
CPL-R00331,L00282
CPL-R00333,L00283
CPL-R00334,L00283
CPL-R00335,L00284
CPL-R00336,L00285
CPL-R00337,L00286
CPL-R00338,L00286
CPL-R00339,L00287
CPL-R00340,L00288
CPL-R00341,L00289
CPL-R00342,L00290
CPL-R00344,L00291
CPL-R00343,L00291
CPL-R00345,L00292
CPL-R00346,L00293
CPL-R00347,L00294
CPL-R00348,L00295
CPL-R00349,L00296
CPL-R00350,L00297
CPL-R00352,L00298
CPL-R00351,L00298
CPL-R00353,L00299
CPL-R00354,L00300
CPL-R00355,L00301
CPL-R00356,L00301
CPL-R00357,L00302
CPL-R00358,L00303
CPL-R00359,L00304
CPL-R00360,L00305
CPL-R00361,L00306
CPL-R00362,L00307
CPL-R00363,L00308
CPL-R00364,L00309
CPL-R00365,L00310
CPL-R00366,L00311
CPL-R00367,L00312
CPL-R00368,L00313
CPL-R00369,L00314
CPL-R00370,L00315
CPL-R00371,L00316
CPL-R00372,L00317
CPL-R00373,L00318
CPL-R00374,L00319
CPL-R00375,L00320
CPL-R00376,L00320
CPL-R00377,L00321
CPL-R00378,L00322
CPL-R00379,L00323
CPL-R00380,L00324
CPL-R00381,L00325
CPL-R00382,L00326
CPL-R00383,L00327
CPL-R00384,L00328
CPL-R00385,L00329
CPL-R00386,L00330
CPL-R00387,L00331
CPL-R00389,L00332
CPL-R00388,L00332
CPL-R00390,L00333
CPL-R00391,L00333
CPL-R00392,L00334
CPL-R00393,L00335
CPL-R00394,L00336
CPL-R00395,L00336
CPL-R00396,L00337
CPL-R00397,L00338
CPL-R00398,L00339
CPL-R00399,L00340
CPL-R00400,L00341
CPL-R00401,L00342
CPL-R00402,L00343
CPL-R00403,L00344
CPL-R00404,L00345
CPL-R00405,L00346
CPL-R00406,L00347
CPL-R00407,L00348
CPL-R00408,L00349
CPL-R00409,L00350
CPL-R00410,L00351
CPL-R00411,L00352
CPL-R00412,L00353
CPL-R00413,L00354
CPL-R00414,L00355
CPL-R00415,L00356
CPL-R00416,L00357
CPL-R00417,L00358
CPL-R00418,L00358
CPL-R00419,L00359
CPL-R00420,L00359
CPL-R00421,L00360
TRI-R00422,L00361
TRI-R00423,L00362
TRI-R00424,L00363
TRI-R00425,L00364
TRI-R00426,L00365
TRI-R00427,L00366
TRI-R00428,L00367
TRI-R00429,L00367
TRI-R00430,L00368
TRI-R00431,L00368
TRI-R00432,L00369
TRI-R00433,L00370
TRI-R00434,L00371
TRI-R00435,L00372
TRI-R00436,L00373
TRI-R00437,L00374
TRI-R00438,L00375
TRI-R00439,L00376
TRI-R00440,L00377
TRI-R00441,L00378
TRI-R00442,L00379
TRI-R00444,L00380
TRI-R00443,L00380
TRI-R00445,L00381
TRI-R00446,L00382
TRI-R00447,L00382
TRI-R00448,L00383
TRI-R00449,L00383
TRI-R00451,L00384
TRI-R00450,L00384
TRI-R00453,L00385
TRI-R00452,L00385
TRI-R00454,L00386
TRI-R00456,L00387
TRI-R00455,L00387
TRI-R00457,L00388
TRI-R00458,L00389
TRI-R00459,L00390
TRI-R00460,L00391
TRI-R00461,L00392
TRI-R00462,L00393
TRI-R00463,L00394
TRI-R00464,L00394
TRI-R00465,L00395
TRI-R00466,L00396
TRI-R00467,L00397
TRI-R00468,L00398
TRI-R00469,L00399
TRI-R00470,L00400
TRI-R00471,L00401
TRI-R00472,L00402
TRI-R00473,L00403
TRI-R00474,L00404
TRI-R00475,L00405
TRI-R00477,L00406
TRI-R00476,L00406
TRI-R00478,L00407
TRI-R00479,L00408
TRI-R00480,L00409
TRI-R00481,L00410
TRI-R00482,L00411
TRI-R00483,L00412
TRI-R00484,L00413
TRI-R00485,L00414
TRI-R00486,L00415
TRI-R00487,L00416
TRI-R00488,L00417
TRI-R00489,L00417
TRI-R00490,L00418
TRI-R00491,L00419
TRI-R00492,L00420
TRI-R00493,L00421
TRI-R00494,L00421
TRI-R00495,L00422
TRI-R00496,L00423
TRI-R00497,L00424
TRI-R00498,L00425
TRI-R00499,L00426
TRI-R00500,L00427
TRI-R00501,L00428
TRI-R00502,L00429
TRI-R00503,L00430
TRI-R00504,L00431
TRI-R00505,L00432
TRI-R00506,L00433
TRI-R00507,L00434
TRI-R00508,L00435
TRI-R00509,L00436
TRI-R00510,L00437
TRI-R00511,L00438
TRI-R00512,L00439
TRI-R00513,L00440
TRI-R00514,L00440
TRI-R00515,L00441
TRI-R00516,L00442
TRI-R00517,L00443
TRI-R00518,L00444
TRI-R00519,L00445
TRI-R00520,L00446
TRI-R00521,L00447
TRI-R00522,L00448
TRI-R00523,L00449
TRI-R00524,L00450
TRI-R00525,L00451
TRI-R00526,L00452
TRI-R00528,L00453
TRI-R00527,L00453
TRI-R00529,L00454
TRI-R00530,L00455
TRI-R00531,L00456
TRI-R00532,L00457
TRI-R00533,L00458
TRI-R00534,L00458
TRI-R00535,L00459
TRI-R00536,L00459
TRI-R00537,L00460
TRI-R00538,L00461
TRI-R00540,L00462
TRI-R00539,L00462
TRI-R00541,L00463
TRI-R00542,L00464
TRI-R00543,L00465
TRI-R00544,L00466
TRI-R00545,L00466
TRI-R00546,L00467
TRI-R00547,L00468
TRI-R00548,L00469
TRI-R00549,L00470
TRI-R00550,L00471
TRI-R00551,L00472
TRI-R00552,L00473
TRI-R00553,L00474
TRI-R00554,L00475
TRI-R00555,L00476
TRI-R00556,L00477
TRI-R00557,L00478
TRI-R00558,L00479
TRI-R00559,L00480
TRI-R00560,L00481
TRI-R00561,L00482
TRI-R00562,L00483
TRI-R00563,L00484
TRI-R00564,L00484
TRI-R00565,L00485
TRI-R00566,L00486
TRI-R00567,L00487
TRI-R00568,L00488
TRI-R00569,L00489
TRI-R00570,L00490
TRI-R00571,L00491
TRI-R00572,L00492
TRI-R00573,L00493
TRI-R00574,L00494
TRI-R00575,L00495
TRI-R00576,L00496
TRI-R00577,L00497
TRI-R00578,L00498
TRI-R00579,L00499
TRI-R00581,L00500
TRI-R00580,L00500
TRI-R00582,L00501
TRI-R00584,L00502
TRI-R00583,L00502
TRI-R00585,L00503
TRI-R00586,L00504
TRI-R00588,L00505
TRI-R00587,L00505
TRI-R00589,L00506
TRI-R00590,L00507
TRI-R00591,L00508
TRI-R00593,L00509
TRI-R00592,L00509
TRI-R00594,L00510
TRI-R00595,L00511
TRI-R00596,L00511
TRI-R00598,L00512
TRI-R00597,L00512
TRI-R00599,L00513
TRI-R00600,L00514
TRI-R00601,L00515
TRI-R00603,L00516
TRI-R00602,L00516
TRI-R00605,L00517
TRI-R00604,L00517
TRI-R00606,L00518
TRI-R00607,L00519
TRI-R00608,L00520
TRI-R00609,L00521
TRI-R00610,L00522
TRI-R00611,L00523
TRI-R00612,L00523
TRI-R00614,L00524
TRI-R00613,L00524
TRI-R00615,L00525
TRI-R00616,L00526
TRI-R00617,L00527
TRI-R00618,L00528
TRI-R00619,L00529
TRI-R00620,L00530
TRI-R00621,L00530
TRI-R00622,L00531
TRI-R00623,L00532
TRI-R00624,L00533
TRI-R00625,L00534
TRI-R00626,L00535
TRI-R00627,L00536
TRI-R00628,L00537
TRI-R00629,L00538
TRI-R00630,L00539
TRI-R00631,L00540
TRI-R00632,L00541
TRI-R00633,L00542
TRI-R00634,L00543
TRI-R00635,L00544
TRI-R00636,L00545
TRI-R00637,L00546
TRI-R00638,L00547
TRI-R00639,L00548
TRI-R00640,L00549
TRI-R00641,L00550
TRI-R00642,L00551
TRI-R00643,L00552
TRI-R00644,L00553
TRI-R00645,L00554
TRI-R00646,L00555
TRI-R00647,L00556
TRI-R00649,L00557
TRI-R00648,L00557
TRI-R00650,L00558
TRI-R00651,L00559
TRI-R00652,L00560
TRI-R00653,L00561
TRI-R00654,L00562
TRI-R00655,L00563
TRI-R00656,L00564
TRI-R00657,L00564
TRI-R00658,L00565
TRI-R00659,L00566
TRI-R00660,L00567
TRI-R00661,L00568
TRI-R00663,L00569
TRI-R00662,L00569
TRI-R00664,L00570
TRI-R00665,L00571
TRI-R00666,L00572
TRI-R00667,L00573
TRI-R00668,L00574
TRI-R00670,L00575
TRI-R00669,L00575
TRI-R00671,L00576
TRI-R00672,L00577
TRI-R00673,L00577
TRI-R00674,L00578
TRI-R00675,L00578
TRI-R00676,L00579
TRI-R00677,L00580
TRI-R00678,L00581
TRI-R00679,L00582
TRI-R00680,L00583
TRI-R00681,L00584
TRI-R00682,L00585
TRI-R00683,L00586
TRI-R00684,L00587
TRI-R00685,L00588
TRI-R00686,L00589
TRI-R00687,L00590
TRI-R00688,L00591
TRI-R00689,L00591
TRI-R00691,L00592
TRI-R00690,L00592
TRI-R00692,L00593
TRI-R00693,L00594
TRI-R00694,L00595
TRI-R00695,L00596
TRI-R00696,L00597
TRI-R00697,L00598
TRI-R00698,L00599
TRI-R00699,L00600
TRI-R00700,L00601
TRI-R00701,L00601
TRI-R00702,L00602
TRI-R00703,L00603
TRI-R00704,L00604
TRI-R00705,L00605
TRI-R00706,L00606
TRI-R00707,L00607
TRI-R00708,L00608
TRI-R00709,L00609
TRI-R00710,L00610
TRI-R00711,L00610
TRI-R00712,L00611
TRI-R00713,L00612
TRI-R00714,L00613
TRI-R00715,L00614
TRI-R00716,L00615
TRI-R00717,L00616
TRI-R00718,L00617
TRI-R00719,L00618
TRI-R00720,L00619
TRI-R00721,L00620
TRI-R00722,L00621
TRI-R00723,L00622
TRI-R00724,L00623
TRI-R00725,L00624
TRI-R00726,L00625
TRI-R00727,L00626
TRI-R00728,L00627
TRI-R00729,L00628
TRI-R00730,L00629
TRI-R00731,L00630
TRI-R00732,L00631
TRI-R00733,L00632
TRI-R00734,L00633
TRI-R00735,L00634
TRI-R00736,L00635
TRI-R00737,L00636
TRI-R00738,L00637
TRI-R00739,L00638
TRI-R00740,L00639
TRI-R00741,L00640
TRI-R00742,L00641
TRI-R00743,L00642
TRI-R00744,L00643
TRI-R00745,L00644
TRI-R00746,L00645
TRI-R00747,L00646
TRI-R00748,L00647
TRI-R00749,L00648
TRI-R00750,L00649
TRI-R00751,L00650
TRI-R00752,L00651
TRI-R00753,L00651
TRI-R00754,L00652
TRI-R00755,L00653
TRI-R00756,L00654
TRI-R00757,L00655
TRI-R00758,L00656
TRI-R00759,L00657
TRI-R00760,L00658
TRI-R00761,L00659
TRI-R00762,L00660
TRI-R00763,L00660
TRI-R00764,L00661
TRI-R00765,L00662
TRI-R00767,L00663
TRI-R00766,L00663
TRI-R00768,L00664
TRI-R00769,L00665
TRI-R00770,L00665
TRI-R00771,L00666
TRI-R00772,L00667
TRI-R00773,L00668
TRI-R00774,L00669
TRI-R00775,L00669
TRI-R00778,L00670
TRI-R00776,L00670
TRI-R00777,L00670
TRI-R00779,L00671
TRI-R00780,L00672
TRI-R00781,L00673
TRI-R00782,L00674
TRI-R00783,L00675
NDX-R00784,L00676
NDX-R00785,L00677
NDX-R00786,L00678
NDX-R00787,L00679
NDX-R00788,L00680
NDX-R00789,L00680
NDX-R00790,L00681
NDX-R00791,L00682
NDX-R00792,L00683
NDX-R00793,L00684
NDX-R00794,L00685
NDX-R00795,L00686
NDX-R00796,L00687
NDX-R00797,L00688
NDX-R00798,L00689
NDX-R00799,L00690
NDX-R00800,L00690
NDX-R00801,L00691
NDX-R00802,L00692
NDX-R00803,L00692
NDX-R00804,L00693
NDX-R00805,L00694
NDX-R00806,L00695
NDX-R00807,L00696
NDX-R00808,L00697
NDX-R00809,L00698
NDX-R00810,L00699
NDX-R00811,L00699
NDX-R00812,L00700
NDX-R00813,L00701
NDX-R00814,L00702
NDX-R00815,L00702
NDX-R00816,L00703
NDX-R00817,L00704
NDX-R00818,L00705
NDX-R00819,L00706
NDX-R00820,L00707
NDX-R00821,L00708
NDX-R00822,L00709
NDX-R00823,L00710
NDX-R00824,L00711
NDX-R00825,L00712
NDX-R00826,L00713
NDX-R00827,L00714
NDX-R00828,L00715
NDX-R00829,L00716
NDX-R00830,L00717
NDX-R00832,L00718
NDX-R00831,L00718
NDX-R00833,L00719
NDX-R00834,L00720
NDX-R00835,L00721
NDX-R00836,L00722
NDX-R00837,L00723
NDX-R00838,L00724
NDX-R00839,L00725
NDX-R00841,L00726
NDX-R00840,L00726
NDX-R00842,L00727
NDX-R00843,L00727
NDX-R00844,L00728
NDX-R00845,L00729
NDX-R00846,L00730
NDX-R00847,L00731
NDX-R00848,L00732
NDX-R00849,L00732
NDX-R00850,L00733
NDX-R00851,L00734
NDX-R00852,L00735
NDX-R00853,L00736
NDX-R00854,L00737
NDX-R00855,L00738
NDX-R00856,L00739
NDX-R00857,L00740
NDX-R00858,L00741
NDX-R00859,L00742
NDX-R00860,L00742
NDX-R00861,L00743
NDX-R00862,L00744
NDX-R00863,L00745
NDX-R00864,L00746
NDX-R00865,L00747
NDX-R00866,L00747
NDX-R00867,L00748
NDX-R00868,L00749
NDX-R00869,L00750
NDX-R00870,L00751
NDX-R00871,L00752
NDX-R00872,L00753
NDX-R00873,L00754
NDX-R00874,L00755
NDX-R00875,L00756
NDX-R00876,L00757
NDX-R00877,L00758
NDX-R00878,L00759
NDX-R00879,L00760
NDX-R00880,L00761
NDX-R00881,L00762
NDX-R00882,L00763
NDX-R00884,L00764
NDX-R00883,L00764
NDX-R00885,L00765
NDX-R00886,L00766
NDX-R00887,L00766
NDX-R00888,L00767
NDX-R00889,L00768
NDX-R00890,L00769
NDX-R00891,L00770
NDX-R00892,L00771
NDX-R00893,L00772
NDX-R00894,L00773
NDX-R00895,L00774
NDX-R00896,L00775
NDX-R00897,L00776
NDX-R00898,L00777
NDX-R00899,L00778
NDX-R00900,L00779
NDX-R00901,L00780
NDX-R00902,L00781
NDX-R00903,L00782
NDX-R00904,L00783
NDX-R00905,L00783
NDX-R00906,L00784
NDX-R00907,L00785
NDX-R00908,L00786
NDX-R00909,L00787
NDX-R00910,L00788
NDX-R00911,L00789
NDX-R00912,L00790
NDX-R00913,L00791
NDX-R00914,L00792
NDX-R00915,L00793
NDX-R00916,L00794
NDX-R00917,L00795
NDX-R00918,L00796
NDX-R00919,L00797
NDX-R00920,L00798
NDX-R00921,L00798
NDX-R00922,L00799
NDX-R00923,L00800
NDX-R00924,L00801
NDX-R00925,L00802
NDX-R00928,L00803
NDX-R00926,L00803
NDX-R00927,L00803
NDX-R00929,L00804
NDX-R00930,L00805
NDX-R00931,L00806
NDX-R00932,L00807
NDX-R00933,L00808
NDX-R00934,L00808
NDX-R00935,L00809
NDX-R00936,L00810
NDX-R00937,L00811
NDX-R00938,L00812
NDX-R00939,L00813
NDX-R00940,L00814
NDX-R00941,L00815
NDX-R00942,L00816
NDX-R00943,L00817
NDX-R00944,L00818
NDX-R00945,L00819
NDX-R00946,L00820
NDX-R00947,L00821
NDX-R00948,L00822
NDX-R00949,L00823
NDX-R00950,L00824
NDX-R00951,L00825
NDX-R00952,L00826
NDX-R00953,L00827
NDX-R00954,L00828
NDX-R00955,L00829
NDX-R00956,L00830
NDX-R00957,L00831
NDX-R00959,L00832
NDX-R00958,L00832
NDX-R00960,L00833
NDX-R00961,L00834
NDX-R00962,L00835
NDX-R00964,L00836
NDX-R00963,L00836
NDX-R00965,L00837
NDX-R00966,L00838
NDX-R00967,L00839
NDX-R00968,L00839
NDX-R00969,L00840
NDX-R00970,L00841
NDX-R00971,L00842
NDX-R00972,L00843
NDX-R00973,L00844
NDX-R00974,L00845
NDX-R00975,L00846
NDX-R00976,L00847
NDX-R00977,L00848
NDX-R00978,L00849
NDX-R00979,L00850
NDX-R00980,L00851
NDX-R00981,L00852
NDX-R00982,L00853
NDX-R00983,L00854
NDX-R00984,L00854
NDX-R00985,L00855
NDX-R00986,L00855
NDX-R00987,L00856
NDX-R00988,L00856
NDX-R00990,L00858
NDX-R00991,L00859
NDX-R00992,L00860
NDX-R00993,L00861
NDX-R00994,L00862
NDX-R00995,L00863
NDX-R00996,L00864
NDX-R00997,L00865
NDX-R00998,L00866
NDX-R00999,L00866
NDX-R01001,L00867
NDX-R01000,L00867
NDX-R01002,L00868
NDX-R01003,L00869
NDX-R01004,L00870
NDX-R01005,L00871
NDX-R01006,L00872
NDX-R01007,L00872
NDX-R01008,L00873
NDX-R01009,L00874
NDX-R01010,L00875
NDX-R01011,L00876
NDX-R01012,L00877
NDX-R01013,L00878
NDX-R01014,L00879
NDX-R01015,L00880
NDX-R01016,L00881
NDX-R01017,L00882
NDX-R01018,L00882
NDX-R01019,L00883
NDX-R01021,L00884
NDX-R01020,L00884
NDX-R01022,L00885
NDX-R01023,L00886
NDX-R01024,L00887
NDX-R01025,L00888
NDX-R01026,L00889
NDX-R01027,L00890
NDX-R01028,L00891
NDX-R01029,L00892
NDX-R01030,L00893
NDX-R01031,L00894
NDX-R01032,L00895
NDX-R01033,L00896
NDX-R01034,L00897
NDX-R01035,L00898
NDX-R01036,L00899
NDX-R01038,L00900
NDX-R01037,L00900
